point_name,time,obs(m)
ENMWD06,2022年3月,2.58
ENMWD06,2022年4月,2.27
ENMWD06,2022年5月,2.62
ENMWD06,2022年6月,2.08
ENMWD06,2022年7月,2.7
ENMWD06,2022年8月,1.38
ENMWD06,2022年9月,1.38
ENMWD06,2022年10月,1.8
ENMWD06,2022年11月,2.29
ENMWD06,2022年12月,1.48
ENMWD06,2023年4月,2.27
ENMWD06,2023年5月,1.98
ENMWD06,2023年6月,2.12
ENMWD06,2023年7月,2.31
ENMWD06,2023年8月,3.03
ENMWD06,2023年9月,1.74
ENMWD06,2023年10月,1.87
ENMWD04,2022年3月,3.85
ENMWD04,2022年4月,3.51
ENMWD04,2022年5月,3.33
ENMWD04,2022年6月,3.58
ENMWD04,2022年7月,3.16
ENMWD04,2022年8月,3.3
ENMWD04,2022年9月,3.21
ENMWD04,2022年10月,2.71
ENMWD04,2022年11月,2.8
ENMWD04,2022年12月,2.38
ENMWD04,2023年4月,
ENMWD04,2023年5月,-999
ENMWD04,2023年6月,-999
ENMWD04,2023年7月,-999
ENMWD04,2023年8月,2.68
ENMWD04,2023年9月,-999
ENMWD04,2023年10月,-999
ENMWD16,2022年3月,2.67
ENMWD16,2022年4月,2.38
ENMWD16,2022年5月,1.9
ENMWD16,2022年6月,2.16
ENMWD16,2022年7月,1.64
ENMWD16,2022年8月,1.05
ENMWD16,2022年9月,1.47
ENMWD16,2022年10月,1.52
ENMWD16,2022年11月,0.92
ENMWD16,2022年12月,0.63
ENMWD16,2023年4月,1.5
ENMWD16,2023年5月,1.46
ENMWD16,2023年6月,1.51
ENMWD16,2023年7月,1.97
ENMWD16,2023年8月,1.82
ENMWD16,2023年9月,2.52
ENMWD16,2023年10月,-999
ENMWD17,2022年3月,4.21
ENMWD17,2022年4月,3.73
ENMWD17,2022年5月,3.57
ENMWD17,2022年6月,3.64
ENMWD17,2022年7月,3.91
ENMWD17,2022年8月,2.91
ENMWD17,2022年9月,3.6
ENMWD17,2022年10月,3.78
ENMWD17,2022年11月,3.6
ENMWD17,2022年12月,3.75
ENMWD17,2023年4月,3.51
ENMWD17,2023年5月,3.53
ENMWD17,2023年6月,3.45
ENMWD17,2023年7月,3.79
ENMWD17,2023年8月,2.24
ENMWD17,2023年9月,2.41
ENMWD17,2023年10月,-999
ENMWD13,2022年3月,5.01
ENMWD13,2022年4月,2.44
ENMWD13,2022年5月,2.08
ENMWD13,2022年6月,2.37
ENMWD13,2022年7月,3.08
ENMWD13,2022年8月,2.66
ENMWD13,2022年9月,3.04
ENMWD13,2022年10月,3.16
ENMWD13,2022年11月,2.86
ENMWD13,2022年12月,3.92
ENMWD13,2023年4月,-999
ENMWD13,2023年5月,-999
ENMWD13,2023年6月,-999
ENMWD13,2023年7月,-999
ENMWD13,2023年8月,-999
ENMWD13,2023年9月,-999
ENMWD13,2023年10月,-999
CSNMWD21,2022年3月,1.66
CSNMWD21,2022年4月,1.83
CSNMWD21,2022年5月,1.8
CSNMWD21,2022年6月,1.37
CSNMWD21,2022年7月,1.53
CSNMWD21,2022年8月,1.62
CSNMWD21,2022年9月,1.83
CSNMWD21,2022年10月,1.77
CSNMWD21,2022年11月,1.51
CSNMWD21,2022年12月,1.46
CSNMWD21,2023年4月,4.32
CSNMWD21,2023年5月,2.57
CSNMWD21,2023年6月,1.56
CSNMWD21,2023年7月,1.63
CSNMWD21,2023年8月,4.52
CSNMWD21,2023年9月,1.73
CSNMWD21,2023年10月,1.82
ANMWQ18,2022年3月,0.94
ANMWQ18,2022年4月,0.63
ANMWQ18,2022年5月,0.98
ANMWQ18,2022年6月,1.17
ANMWQ18,2022年7月,0.74
ANMWQ18,2022年8月,0.89
ANMWQ18,2022年9月,0.27
ANMWQ18,2022年10月,0.01
ANMWQ18,2022年11月,-0.75
ANMWQ18,2022年12月,-0.91
ANMWQ18,2023年4月,-0.2
ANMWQ18,2023年5月,0.2
ANMWQ18,2023年6月,-0.27
ANMWQ18,2023年7月,-999
ANMWQ18,2023年8月,0.22
ANMWQ18,2023年9月,0.94
ANMWQ18,2023年10月,0.73
ANMWQ14,2022年3月,5.94
ANMWQ14,2022年4月,6.73
ANMWQ14,2022年5月,6.14
ANMWQ14,2022年6月,7.37
ANMWQ14,2022年7月,4.65
ANMWQ14,2022年8月,4.48
ANMWQ14,2022年9月,4.13
ANMWQ14,2022年10月,4.12
ANMWQ14,2022年11月,4.37
ANMWQ14,2022年12月,3.8
ANMWQ14,2023年4月,4.24
ANMWQ14,2023年5月,4.47
ANMWQ14,2023年6月,4.26
ANMWQ14,2023年7月,5.87
ANMWQ14,2023年8月,-999
ANMWQ14,2023年9月,4.52
ANMWQ14,2023年10月,4.58
ANMWD03,2022年3月,2.03
ANMWD03,2022年4月,1.79
ANMWD03,2022年5月,1.96
ANMWD03,2022年6月,2.35
ANMWD03,2022年7月,2.17
ANMWD03,2022年8月,1.64
ANMWD03,2022年9月,1.7
ANMWD03,2022年10月,1.8
ANMWD03,2022年12月,1.88
ANMWD03,2023年4月,1.74
ANMWD03,2023年5月,1.54
ANMWD03,2023年6月,5
ANMWD03,2023年7月,1.78
ANMWD03,2023年8月,2.65
ANMWD03,2023年9月,5.09
ANMWD03,2023年10月,4.91
ANMWQ03,2022年3月,2.15
ANMWQ03,2022年4月,2.15
ANMWQ03,2022年5月,2.45
ANMWQ03,2022年6月,2.15
ANMWQ03,2022年7月,2.17
ANMWQ03,2022年8月,1.85
ANMWQ03,2022年9月,1.39
ANMWQ03,2022年10月,1.64
ANMWQ03,2022年12月,1.62
ANMWQ03,2023年4月,3.78
ANMWQ03,2023年5月,3.55
ANMWQ03,2023年6月,3.44
ANMWQ03,2023年7月,3.81
ANMWQ03,2023年8月,3.89
ANMWQ03,2023年9月,4.05
ANMWQ03,2023年10月,3.63
BNNMWQ03,2022年3月,1.01
BNNMWQ03,2022年4月,1.14
BNNMWQ03,2022年5月,1.6
BNNMWQ03,2022年6月,0.92
BNNMWQ03,2022年7月,0.85
BNNMWQ03,2022年8月,0.4
BNNMWQ03,2022年9月,0.56
BNNMWQ03,2022年10月,0.61
BNNMWQ03,2022年11月,0.27
BNNMWQ03,2022年12月,0.62
BNNMWQ03,2023年4月,0.81
BNNMWQ03,2023年5月,
BNNMWQ03,2023年6月,-999
BNNMWQ03,2023年7月,-999
BNNMWQ03,2023年8月,-999
BNNMWQ03,2023年9月,-999
BNNMWQ03,2023年10月,-999
BNNMWD01,2022年3月,1.84
BNNMWD01,2022年4月,1.96
BNNMWD01,2022年5月,1.48
BNNMWD01,2022年6月,1.92
BNNMWD01,2022年7月,1.86
BNNMWD01,2022年8月,0.3
BNNMWD01,2022年9月,2.1
BNNMWD01,2022年10月,1.46
BNNMWD01,2022年11月,1.08
BNNMWD01,2022年12月,1.88
BNNMWD01,2023年4月,2.08
BNNMWD01,2023年5月,1.48
BNNMWD01,2023年6月,1.52
BNNMWD01,2023年7月,2.4
BNNMWD01,2023年8月,2.16
BNNMWD01,2023年9月,2.44
BNNMWD01,2023年10月,-999
BSNMWD02,2022年3月,2.39
BSNMWD02,2022年4月,2.34
BSNMWD02,2022年5月,2.36
BSNMWD02,2022年6月,1.91
BSNMWD02,2022年7月,2.23
BSNMWD02,2022年8月,1.12
BSNMWD02,2022年9月,1.84
BSNMWD02,2022年10月,2.46
BSNMWD02,2022年11月,2.3
BSNMWD02,2022年12月,1.19
BSNMWD02,2023年4月,2.27
BSNMWD02,2023年5月,2.24
BSNMWD02,2023年6月,2.81
BSNMWD02,2023年7月,2.35
BSNMWD02,2023年8月,2.14
BSNMWD02,2023年9月,2.26
BSNMWD02,2023年10月,2.23
CNNMWD06,2022年3月,
CNNMWD06,2022年4月,-999
CNNMWD06,2022年5月,-999
CNNMWD06,2022年6月,-999
CNNMWD06,2022年7月,-999
CNNMWD06,2022年8月,-999
CNNMWD06,2022年9月,-999
CNNMWD06,2022年10月,-999
CNNMWD06,2022年11月,
CNNMWD06,2022年12月,-999
CNNMWD06,2023年4月,1.05
CNNMWD06,2023年5月,1.24
CNNMWD06,2023年6月,1.1
CNNMWD06,2023年7月,1.34
CNNMWD06,2023年8月,1.24
CNNMWD06,2023年9月,1.42
CNNMWD06,2023年10月,1.23
CNNMWD10,2022年3月,2.3
CNNMWD10,2022年4月,1.54
CNNMWD10,2022年5月,1.69
CNNMWD10,2022年6月,2.37
CNNMWD10,2022年7月,2.39
CNNMWD10,2022年8月,1.88
CNNMWD10,2022年9月,1.55
CNNMWD10,2022年10月,1.94
CNNMWD10,2022年11月,2.15
